타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,30,7,23,4,4,4
m,30,7,24,4,4,4
m,30,7,25,7,7,7
m,30,7,26,9,9,9
m,30,7,27,10,10,10
m,30,7,28,17,17,17
m,30,7,29,67,67,67
m,30,7,30,2215,2215,2215
m,30,8,1,2,2,2
m,30,8,2,4,4,4
m,30,8,3,15,15,15
m,30,8,4,13,13,13
m,30,8,5,5,5,5
m,30,8,6,5,5,5
m,30,8,7,1,1,1
m,30,8,8,9,9,9
m,30,8,9,10,10,10
m,30,8,10,8,8,8
m,30,8,11,9,9,9
m,30,8,12,4,4,4
m,30,8,13,7,7,7
m,30,8,14,4,4,4
m,30,8,15,9,9,9
m,30,8,16,5,5,5
m,30,8,17,7,7,7
m,30,8,18,9,9,9
m,30,8,19,5,5,5
m,30,8,20,6,6,6
m,30,8,21,5,5,5
m,30,8,22,8,8,8
m,30,8,23,3,3,3
m,30,8,24,7,7,7
m,30,8,25,10,10,10
m,30,8,26,8,8,8
m,30,8,27,11,11,11
m,30,8,28,14,14,14
m,30,8,29,74,74,74
m,30,8,30,2276,2276,2276
m,30,9,1,2,2,2
m,30,9,2,5,5,5
m,30,9,3,7,7,7
m,30,9,4,8,8,8
m,30,9,5,3,3,3
m,30,9,6,4,4,4
m,30,9,7,7,7,7
m,30,9,8,7,7,7
m,30,9,9,11,11,11
m,30,9,10,3,3,3
m,30,9,11,8,8,8
m,30,9,12,13,13,13
m,30,9,13,5,5,5
m,30,9,14,9,9,9
m,30,9,15,7,7,7
m,30,9,16,5,5,5
m,30,9,17,9,9,9
m,30,9,18,7,7,7
m,30,9,19,5,5,5
m,30,9,21,3,3,3
m,30,9,22,4,4,4
m,30,9,23,7,7,7
m,30,9,24,11,11,11
m,30,9,25,14,14,14
m,30,9,26,9,9,9
m,30,9,27,14,14,14
m,30,9,28,17,17,17
m,30,9,29,69,69,69
m,30,9,30,2183,2183,2183
m,30,10,1,2,2,2
m,30,10,2,6,6,6
m,30,10,3,8,8,8
m,30,10,4,14,14,14
m,30,10,5,7,7,7
m,30,10,6,5,5,5
m,30,10,7,7,7,7
m,30,10,8,9,9,9
m,30,10,9,6,6,6
m,30,10,10,6,6,6
m,30,10,11,7,7,7
m,30,10,12,5,5,5
m,30,10,13,9,9,9
